Model,Class,Precision,Recall,F1_Score,Support
Custom CNN,angry,0.5038,0.4875,0.4955,958
Custom CNN,disgust,0.2996,0.6396,0.408,111
Custom CNN,fear,0.4679,0.1494,0.2265,1024
Custom CNN,happy,0.7337,0.8743,0.7978,1774
Custom CNN,neutral,0.4682,0.6878,0.5572,1233
Custom CNN,sad,0.4964,0.3288,0.3956,1247
Custom CNN,surprise,0.6934,0.781,0.7346,831
